2021-08-19A00:00:00;45,813;45,401;44,901;44,525;44,577;44,705;45,042
2021-08-19A01:00:00;45,401;44,901;44,525;44,577;44,862;45,042;44,955
2021-08-19A02:00:00;44,901;44,525;44,577;44,862;44,705;44,955;44,59
2021-08-19A03:00:00;44,525;44,577;44,862;44,705;45,042;44,59;44,046
2021-08-19A04:00:00;44,577;44,862;44,705;45,042;44,955;44,046;44,132
2021-08-19A05:00:00;44,862;44,705;45,042;44,955;44,59;44,132;44,403
2021-08-19A06:00:00;44,705;45,042;44,955;44,59;44,046;44,403;44,38
2021-08-19A07:00:00;45,042;44,955;44,59;44,046;44,132;44,38;44,66
2021-08-19A08:00:00;44,955;44,59;44,046;44,132;44,403;44,66;44,705
2021-08-19A09:00:00;44,59;44,046;44,132;44,403;44,38;44,705;44,756
2021-08-19A10:00:00;44,046;44,132;44,403;44,38;44,66;44,756;44,36
2021-08-19A11:00:00;44,132;44,403;44,38;44,66;44,705;44,36;44,215
2021-08-19A12:00:00;44,403;44,38;44,66;44,705;44,756;44,215;44,577
2021-08-19A13:00:00;44,38;44,66;44,705;44,756;44,36;44,577;44,982
2021-08-19A14:00:00;44,66;44,705;44,756;44,36;44,215;44,982;45,448
2021-08-19A15:00:00;44,705;44,756;44,36;44,215;44,577;45,448;45,779
2021-08-19A16:00:00;44,756;44,36;44,215;44,577;44,982;45,779;45,603
2021-08-19A17:00:00;44,36;44,215;44,577;44,982;45,448;45,603;45,73
2021-08-19A18:00:00;44,215;44,577;44,982;45,448;45,779;45,73;46,562
2021-08-19A19:00:00;44,577;44,982;45,448;45,779;45,603;46,562;46,71
2021-08-19A20:00:00;44,982;45,448;45,779;45,603;45,73;46,71;46,591
2021-08-19A21:00:00;45,448;45,779;45,603;45,73;46,562;46,591;46,606
2021-08-19A22:00:00;45,779;45,603;45,73;46,562;46,71;46,606;46,804
2021-08-19A23:00:00;45,603;45,73;46,562;46,71;46,591;46,804;46,76
2021-08-20A00:00:00;45,73;46,562;46,71;46,591;46,606;46,76;47,14
2021-08-20A01:00:00;46,562;46,71;46,591;46,606;46,804;47,14;47,193
2021-08-20A02:00:00;46,71;46,591;46,606;46,804;46,76;47,193;47,151
2021-08-20A03:00:00;46,591;46,606;46,804;46,76;47,14;47,151;47,054
2021-08-20A04:00:00;46,606;46,804;46,76;47,14;47,193;47,054;47,114
2021-08-20A05:00:00;46,804;46,76;47,14;47,193;47,151;47,114;47,163
2021-08-20A06:00:00;46,76;47,14;47,193;47,151;47,054;47,163;47,172
2021-08-20A07:00:00;47,14;47,193;47,151;47,054;47,114;47,172;46,833
2021-08-20A08:00:00;47,193;47,151;47,054;47,114;47,163;46,833;46,916
2021-08-20A09:00:00;47,151;47,054;47,114;47,163;47,172;46,916;47,209
2021-08-20A10:00:00;47,054;47,114;47,163;47,172;46,833;47,209;47,235
2021-08-20A11:00:00;47,114;47,163;47,172;46,833;46,916;47,235;46,922
2021-08-20A12:00:00;47,163;47,172;46,833;46,916;47,209;46,922;47,164
2021-08-20A13:00:00;47,172;46,833;46,916;47,209;47,235;47,164;47,788
2021-08-20A14:00:00;46,833;46,916;47,209;47,235;46,922;47,788;48,55
2021-08-20A15:00:00;46,916;47,209;47,235;46,922;47,164;48,55;48,718
2021-08-20A16:00:00;47,209;47,235;46,922;47,164;47,788;48,718;48,758
2021-08-20A17:00:00;47,235;46,922;47,164;47,788;48,55;48,758;48,675
