,0
135,1.1912756
136,1.1912761
137,1.1912766
138,1.191277
139,1.1912775
140,1.1912777
141,1.1912781
142,1.1912785
143,1.1912787
144,1.1912789
145,1.1912792
146,1.1912792
147,1.1912793
148,1.1912793
149,1.1912794
150,1.1912795
151,1.1912796
152,1.1912798
153,1.1912799
154,1.1912801
155,1.1912802
156,1.1912804
157,1.1912804
158,1.1912804
159,1.1912805
160,1.1912805
161,1.1912806
162,1.1912806
163,1.1912806
164,1.1912806
165,1.1912806
166,1.1912806
167,1.1912806
168,1.1912806
169,1.1912806
170,1.1912806
171,1.1912806
172,1.1912806
173,1.1912806
174,1.1912806
175,1.1912806
176,1.1912806
177,1.1912806
178,1.1912806
179,1.1912806
180,1.1912806
181,1.1912806
182,1.1912806
183,1.1912806
184,1.1912806
185,1.1912806
186,1.1912806
187,1.1912806
188,1.1912806
189,1.1912806
190,1.1912806
191,1.1912806
192,1.1912806
193,1.1912806
194,1.1912806
195,1.1912806
196,1.1912806
197,1.1912806
198,1.1912806
199,1.1912806
200,1.1912806
201,1.1912806
202,1.1912806
203,1.1912806
204,1.1912806
205,1.1912806
206,1.1912806
207,1.1912806
208,1.1912806
209,1.1912806
210,1.1912806
211,1.1912806
212,1.1912806
213,1.1912806
214,1.1912806
215,1.1912806
216,1.1912806
217,1.1912806
218,1.1912806
219,1.1912806
220,1.1912806
221,1.1912806
222,1.1912806
223,1.1912806
224,1.1912806
225,1.1912806
226,1.1912806
227,1.1912806
228,1.1912806
229,1.1912806
230,1.1912806
231,1.1912806
232,1.1912806
233,1.1912806
234,1.1912806
235,1.1912806
236,1.1912806
237,1.1912806
238,1.1912806
239,1.1912806
240,1.1912806
241,1.1912806
242,1.1912806
243,1.1912806
244,1.1912806
245,1.1912806
246,1.1912806
247,1.1912806
248,1.1912806
249,1.1912806
250,1.1912806
251,1.1912806
252,1.1912806
253,1.1912806
254,1.1912806
255,1.1912806
256,1.1912806
257,1.1912806
258,1.1912806
259,1.1912806
260,1.1912806
261,1.1912806
262,1.1912806
263,1.1912806
264,1.1912806
265,1.1912806
266,1.1912806
267,1.1912806
268,1.1912806
269,1.1912806
270,1.1912806
271,1.1912806
272,1.1912806
273,1.1912806
274,1.1912806
275,1.1912806
276,1.1912806
277,1.1912806
278,1.1912806
279,1.1912806
280,1.1912806
281,1.1912806
282,1.1912806
283,1.1912806
284,1.1912806
285,1.1912806
286,1.1912806
287,1.1912806
288,1.1912806
289,1.1912806
290,1.1912806
291,1.1912806
292,1.1912806
293,1.1912806
294,1.1912806
295,1.1912806
296,1.1912806
297,1.1912806
298,1.1912806
299,1.1912806
300,1.1912806
301,1.1912806
