date;Op;Hi;Lo;Vo;OT
2015-02-09 00:00:00;223389008;223977005;217018997;27791300;220110001
2015-02-10 00:00:00;220281998;221807007;215332001;21115100;219839005
2015-02-11 00:00:00;219731995;223406006;218074005;17201900;219184998
2015-02-12 00:00:00;219207993;222199005;217613998;15206200;221764008
2015-02-13 00:00:00;221968994;240259003;221261993;42744400;235427002
2015-02-14 00:00:00;235528000;259808014;235528000;49732500;257321014
2015-02-15 00:00:00;257506989;265610992;227684006;56552400;234824997
2015-02-16 00:00:00;234824997;239520996;229022003;28153700;233843002
2015-02-17 00:00:00;233421997;245774994;232313995;27363100;243610001
2015-02-18 00:00:00;243779999;244251007;232339996;25200800;236326004
2015-02-19 00:00:00;236410004;242671997;235591995;18270500;240283005
2015-02-20 00:00:00;240251007;247100998;239298996;23876700;243779007
2015-02-21 00:00:00;243751999;255320007;243184006;12284200;244533997
2015-02-22 00:00:00;244544006;246391998;233850998;19527000;235977005
2015-02-23 00:00:00;235994995;240108994;232421005;16400000;238891998
2015-02-24 00:00:00;238998001;239901001;236401993;14200400;238735001
2015-02-25 00:00:00;238889999;239339996;235529999;11496200;237470001
2015-02-26 00:00:00;237337006;237710007;234257004;13619400;236425995
2015-02-27 00:00:00;236436005;256653015;236436005;44013900;253828003
2015-02-28 00:00:00;253520004;254692001;249479004;13949300;254263000
2015-03-01 00:00:00;254283005;261660004;245932999;25213700;260201996
2015-03-02 00:00:00;260356995;276300995;258312988;40465700;275670013
2015-03-03 00:00:00;275045990;285795990;268161011;50461300;281701996
2015-03-04 00:00:00;281989990;284225006;268126007;41383000;273092010
2015-03-05 00:00:00;272739014;281666992;264769012;41302400;276178009
2015-03-06 00:00:00;275600006;277608002;270015015;28918900;272722992
2015-03-07 00:00:00;272294006;277854004;270132996;17825900;276260986
2015-03-08 00:00:00;276433014;277858002;272565002;22067900;274354004
2015-03-09 00:00:00;274812012;292700989;273893005;59178200;289606995
2015-03-10 00:00:00;289862000;300044006;289743011;67770800;291760010
2015-03-11 00:00:00;291524994;297390991;290507996;33963900;296378998
2015-03-12 00:00:00;296127014;297088013;292412994;32585200;294354004
2015-03-13 00:00:00;294118011;294497986;285337006;31421500;285337006
2015-03-14 00:00:00;284441986;286342010;280976013;22612300;281885010
2015-03-15 00:00:00;281424988;286528992;280996002;11970100;286393005
2015-03-16 00:00:00;285684998;294112000;285684998;21516100;290592987
2015-03-17 00:00:00;290595001;292364990;284373993;21497200;285505005
2015-03-18 00:00:00;285066986;285335999;249869995;57008000;256299011
2015-03-19 00:00:00;255880005;264243988;248636002;52732000;260928009
2015-03-20 00:00:00;260955994;264847992;259161987;18456700;261748993
2015-03-21 00:00:00;261644012;262196014;255649994;17130100;260024994
2015-03-22 00:00:00;259916992;269747009;259589996;18438100;267959991
2015-03-23 00:00:00;267894989;277296997;261744995;22811900;266739990
2015-03-24 00:00:00;266576996;267002991;244154999;40073700;245595001
2015-03-25 00:00:00;247472000;249190002;236514999;35866900;246197006
